"Year","kms Driven","Fuel Type","Suspension","Price","Car Model"
"2014","74083 kms "," Petrol "," Manual"," 3.50 Lakh","Honda Amaze VX i-Vtech"
"2009","101867 kms "," Petrol "," Automatic"," 3.89 Lakh","Honda Accord 2.4 AT"
"2010","58000 kms "," Petrol "," Automatic"," 3.33 Lakh","Honda Accord 2.4 Elegance"
"2015","80000 kms "," Diesel "," Manual"," 4.49 Lakh","Honda Mobilio S i-DTEC"
"2009","183011 kms "," Petrol "," Manual"," 2 Lakh","Honda Civic 1.8 V MT"
"2010","68418 kms "," Petrol "," Manual"," 3.01 Lakh","Honda City 1.5 S MT"
"2011","39000 kms "," Petrol "," Automatic"," 4.45 Lakh","Honda Accord 2.4 AT"
"2013","57368 kms "," Petrol "," Manual"," 1.90 Lakh","Honda Brio S MT"
"2015","210532 kms "," Diesel "," Manual"," 4.50 Lakh","Honda Jazz 1.5 V i DTEC"
"2013","70000 kms "," Diesel "," Manual"," 3.50 Lakh","Honda Amaze E i-Dtech"
"2017","25025 kms "," Petrol "," Manual"," 5.65 Lakh","Honda Jazz 1.2 V i VTEC"
"2014","39529 kms "," Petrol "," Manual"," 7 Lakh","Honda City i VTEC V"
"2017","55000 kms "," Petrol "," Manual"," 5.60 Lakh","Honda Jazz V"
"2019","48000 kms "," Petrol "," Automatic"," 7.75 Lakh","Honda Amaze VX CVT i-VTEC"
"2022","4696 kms "," Petrol "," Manual"," 14.48 Lakh","Honda City ZX MT"
"2008","80000 kms "," Petrol "," Manual"," 2.25 Lakh","Honda CR-V RVi MT"
"2009","59000 kms "," Petrol "," Automatic"," 2.50 Lakh","Honda City 1.5 S AT"
"2017","29000 kms "," Petrol "," Automatic"," 8.85 Lakh","Honda BR-V i-VTEC V CVT"
"2018","56400 kms "," Petrol "," Automatic"," 8.95 Lakh","Honda City i-VTEC CVT VX"
"2019","38000 kms "," Petrol "," Manual"," 8.90 Lakh","Honda City i-VTEC SV"
"2009","67000 kms "," Petrol "," Manual"," 4 Lakh","Honda City 1.5 S MT"
"2008","120054 kms "," Petrol "," Automatic"," 1.96 Lakh","Honda Civic 1.8 V AT"
"2017","43417 kms "," Petrol "," Automatic"," 8.95 Lakh","Honda City i-VTEC CVT V"
"2016","51453 kms "," Petrol "," Manual"," 5.33 Lakh","Honda Jazz 1.2 VX i VTEC"
"2014","69900 kms "," Diesel "," Manual"," 4.25 Lakh","Honda Amaze VX i-DTEC"
"2018","35000 kms "," Petrol "," Automatic"," 8.91 Lakh","Honda City i-VTEC CVT V"
"2017","28383 kms "," Petrol "," Manual"," 7.99 Lakh","Honda WR-V i-VTEC VX"
"2015","77381 kms "," Petrol "," Manual"," 6 Lakh","Honda City i VTEC V"
"2016","57571 kms "," Petrol "," Manual"," 4.15 Lakh","Honda Amaze S i-VTEC"
"2018","2264 kms "," Petrol "," Manual"," 8 Lakh","Honda City i-VTEC V"
"2017","38500 kms "," Petrol "," Manual"," 8 Lakh","Honda Jazz V"
"2014","119799 kms "," Diesel "," Manual"," 3.67 Lakh","Honda City i DTEC S"
"2015","120000 kms "," Petrol "," Automatic"," 5.50 Lakh","Honda City i VTEC CVT VX"
"2021","16748 kms "," Petrol "," Manual"," 8.14 Lakh","Honda WR-V SV"
"2017","28340 kms "," Petrol "," Automatic"," 10.99 Lakh","Honda City i-VTEC CVT VX"
"2013","45487 kms "," Petrol "," Manual"," 3.33 Lakh","Honda Brio S MT"
"2022","15501 kms "," Petrol "," Manual"," 10.38 Lakh","Honda City V MT"
"2017","73003 kms "," Petrol "," Manual"," 7.75 Lakh","Honda City i-VTEC ZX"
"2017","35566 kms "," Petrol "," Manual"," 6.45 Lakh","Honda Jazz 1.2 VX i VTEC"
"2019","20121 kms "," Petrol "," Manual"," 6.14 Lakh","Honda Amaze S Petrol BSIV"
"2012","98000 kms "," Petrol "," Automatic"," 4 Lakh","Honda City V AT"
"2016","56945 kms "," Petrol "," Manual"," 3.70 Lakh","Honda Brio S MT"
"2019","33168 kms "," Petrol "," Manual"," 6.99 Lakh","Honda Amaze V Petrol BSIV"
"2011","100553 kms "," Petrol "," Automatic"," 3.55 Lakh","Honda City V AT"
"2009","81521 kms "," Petrol "," Manual"," 1.96 Lakh","Honda City 1.5 S MT"
"2015","109450 kms "," Petrol "," Manual"," 5 Lakh","Honda City i VTEC V"
"2016","31480 kms "," Petrol "," Automatic"," 6.99 Lakh","Honda Jazz 1.2 V AT i VTE"
"2013","65572 kms "," Petrol "," Manual"," 3.13 Lakh","Honda Brio EX MT"
"2015","28714 kms "," Petrol "," Manual"," 5.17 Lakh","Honda Jazz 1.2 V i VTEC"
"2018","40217 kms "," Petrol "," Manual"," 6.98 Lakh","Honda Amaze V Petrol BSIV"
"2010","73033 kms "," Petrol "," Manual"," 3.99 Lakh","Honda City 1.5 S MT"
"2014","96246 kms "," Petrol "," Manual"," 5.91 Lakh","Honda City i VTEC V"
"2018","50000 kms "," Diesel "," Manual"," 6.10 Lakh","Honda Amaze VX Diesel BSI"
"2013","55456 kms "," Petrol "," Manual"," 3.94 Lakh","Honda City V MT"
"2020","25114 kms "," Petrol "," Manual"," 9.45 Lakh","Honda City SV MT"
"2014","27961 kms "," Diesel "," Manual"," 4.22 Lakh","Honda Amaze S i-Dtech"
"2017","42644 kms "," Petrol "," Manual"," 4.36 Lakh","Honda Amaze S Petrol BSIV"
"2020","13307 kms "," Petrol "," Manual"," 6.79 Lakh","Honda Amaze VX Petrol"
"2013","36455 kms "," Petrol "," Manual"," 4.45 Lakh","Honda Amaze S i-Vtech"
"2017","65269 kms "," Petrol "," Automatic"," 6.90 Lakh","Honda Jazz 1.2 V AT i VTE"
"2017","25086 kms "," Petrol "," Manual"," 5.68 Lakh","Honda Amaze S Option i-VT"
"2014","59320 kms "," Petrol "," Manual"," 5.51 Lakh","Honda City i VTEC SV"
"2010","63000 kms "," Petrol "," Manual"," 2.40 Lakh","Honda Jazz Select Edition"
"2015","99398 kms "," Petrol "," Manual"," 3.46 Lakh","Honda Brio S MT"
"2009","63000 kms "," Petrol "," Manual"," 2.95 Lakh","Honda Accord 2.4 MT"
"2018","72578 kms "," Petrol "," Manual"," 6.14 Lakh","Honda Amaze S i-VTEC"
"2019","28000 kms "," Petrol "," Manual"," 8.65 Lakh","Honda WR-V i-VTEC VX"
"2017","62405 kms "," Petrol "," Manual"," 6.79 Lakh","Honda City i-VTEC SV"
"2017","75083 kms "," Petrol "," Automatic"," 8.80 Lakh","Honda City i-VTEC CVT ZX"
"2012","48312 kms "," Petrol "," Automatic"," 4.46 Lakh","Honda City V AT"
"2021","16000 kms "," Petrol "," Manual"," 11.90 Lakh","Honda City i-VTEC V"
"2012","68434 kms "," Petrol "," Manual"," 3.95 Lakh","Honda City i VTEC S"
"2015","65742 kms "," Petrol "," Manual"," 6.03 Lakh","Honda City i VTEC VX"
"2014","17815 kms "," Petrol "," Manual"," 4.50 Lakh","Honda Amaze E i-Vtech"
"2017","47000 kms "," Petrol "," Manual"," 7.95 Lakh","Honda City i VTEC V"
"2019","63121 kms "," Petrol "," Automatic"," 9.75 Lakh","Honda City V CVT"
"2012","71169 kms "," Petrol "," Manual"," 3.26 Lakh","Honda Brio S Option MT"
"2017","66964 kms "," Petrol "," Automatic"," 6.50 Lakh","Honda Jazz V CVT"
"2013","18511 kms "," Petrol "," Manual"," 3.44 Lakh","Honda Brio S MT"
"2016","40000 kms "," Diesel "," Manual"," 5.10 Lakh","Honda Amaze VX i-DTEC"
"2016","33397 kms "," Petrol "," Manual"," 3.59 Lakh","Honda Amaze S i-VTEC"
"2014","54955 kms "," Petrol "," Automatic"," 4.65 Lakh","Honda Amaze S AT i-Vtech"
"2018","32512 kms "," Petrol "," Manual"," 8.20 Lakh","Honda WR-V i-VTEC S"
"2015","56908 kms "," Petrol "," Manual"," 7.12 Lakh","Honda City i VTEC V"
"2018","42000 kms "," Petrol "," Manual"," 5 Lakh","Honda City i-VTEC SV"
"2018","67173 kms "," Petrol "," Manual"," 7.87 Lakh","Honda City i-VTEC V"
"2014","76400 kms "," Petrol "," Automatic"," 5.95 Lakh","Honda City i VTEC CVT VX"
"2014","90535 kms "," Petrol "," Manual"," 5.24 Lakh","Honda City i VTEC V"
"2017","33400 kms "," Petrol "," Automatic"," 8.95 Lakh","Honda City i VTEC CVT VX"
"2017","57509 kms "," Petrol "," Manual"," 7.23 Lakh","Honda BR-V i-VTEC V MT"
"2015","26107 kms "," Petrol "," Manual"," 5.02 Lakh","Honda Brio S MT"
"2019","85759 kms "," Petrol "," Automatic"," 11.57 Lakh","Honda City i-VTEC CVT ZX"
"2016","66731 kms "," Diesel "," Manual"," 5.71 Lakh","Honda City i DTec VX Opti"
"2015","52087 kms "," Petrol "," Manual"," 4.81 Lakh","Honda Jazz 1.2 SV i VTEC"
"2016","58000 kms "," Petrol "," Manual"," 6.25 Lakh","Honda City i VTEC V"
"2019","41000 kms "," Petrol "," Manual"," 6.09 Lakh","Honda Amaze S Petrol"
"2017","81904 kms "," Petrol "," Manual"," 7.20 Lakh","Honda City i VTEC V"
"2015","61314 kms "," Petrol "," Manual"," 5.06 Lakh","Honda Amaze S i-Vtech"
"2015","75611 kms "," Petrol "," Automatic"," 5.33 Lakh","Honda Jazz 1.2 V AT i VTE"
"2018","50000 kms "," Petrol "," Automatic"," 10.50 Lakh","Honda City Anniversary i-"
"2012","51511 kms "," Petrol "," Automatic"," 4.21 Lakh","Honda City V AT"
"2018","34016 kms "," Petrol "," Manual"," 8.09 Lakh","Honda WR-V i-VTEC VX"
"2013","59617 kms "," Petrol "," Manual"," 3.23 Lakh","Honda Brio S MT"
"2017","70336 kms "," Petrol "," Manual"," 5.86 Lakh","Honda WR-V i-VTEC S"
"2016","38532 kms "," Petrol "," Manual"," 8.42 Lakh","Honda City i VTEC V"
"2019","34876 kms "," Petrol "," Manual"," 6.65 Lakh","Honda Amaze S Petrol BSIV"
"2017","100000 kms "," Diesel "," Manual"," 8.25 Lakh","Honda City i-DTEC ZX"
"2016","67329 kms "," Petrol "," Automatic"," 7.62 Lakh","Honda City i VTEC CVT VX"
"2019","33000 kms "," Petrol "," Automatic"," 24.90 Lakh","Honda CR-V 2.0 CVT"
"2022","10000 kms "," Petrol "," Manual"," 10.44 Lakh","Honda WR-V VX"
"2014","47867 kms "," Petrol "," Automatic"," 10.35 Lakh","Honda CR-V 2.4L 4WD AT"
"2018","9205 kms "," Petrol "," Manual"," 6.50 Lakh","Honda Amaze V Petrol BSIV"
"2009","137319 kms "," Petrol "," Manual"," 3 Lakh","Honda City 1.5 S MT"
"2017","50000 kms "," Petrol "," Automatic"," 8 Lakh","Honda City i-VTEC CVT VX"
"2013","90000 kms "," Petrol "," Manual"," 5.40 Lakh","Honda City V MT"
"2017","86945 kms "," Petrol "," Automatic"," 7 Lakh","Honda City i-VTEC CVT ZX"
"2016","73494 kms "," Petrol "," Manual"," 4.23 Lakh","Honda Amaze S i-Vtech"
"2019","10925 kms "," Petrol "," Automatic"," 7.75 Lakh","Honda Amaze V CVT Petrol "
"2016","35000 kms "," Petrol "," Automatic"," 8.50 Lakh","Honda BR-V i-VTEC V CVT"
"2016","59000 kms "," Petrol "," Manual"," 6.50 Lakh","Honda BR-V i-VTEC V MT"
"2018","33000 kms "," Petrol "," Automatic"," 8.99 Lakh","Honda City i-VTEC CVT ZX"
"2015","48509 kms "," Petrol "," Automatic"," 5.85 Lakh","Honda Jazz 1.2 V AT i VTE"
"2016","64393 kms "," Petrol "," Automatic"," 4.80 Lakh","Honda Jazz 1.2 S AT i VTE"
"2016","28000 kms "," Petrol "," Manual"," 5.90 Lakh","Honda City i VTEC SV"
"2013","33912 kms "," Petrol "," Manual"," 2.85 Lakh","Honda Brio S MT"
"2015","46000 kms "," Petrol "," Automatic"," 5.45 Lakh","Honda Jazz 1.2 V AT i VTE"
"2009","70200 kms "," Petrol "," Automatic"," 2.95 Lakh","Honda City 1.5 S AT"
"2014","30000 kms "," Petrol "," Manual"," 6.75 Lakh","Honda City V MT"
"2017","70000 kms "," Petrol "," Automatic"," 8.35 Lakh","Honda City ZX CVT"
"2019","26000 kms "," Petrol "," Manual"," 6.75 Lakh","Honda BR-V i-VTEC E MT"
"2014","79074 kms "," Diesel "," Manual"," 5.85 Lakh","Honda City i DTec VX"
"2018","43326 kms "," Petrol "," Manual"," 4.85 Lakh","Honda Amaze EX i-Vtech"
"2014","79074 kms "," Petrol "," Manual"," 5.85 Lakh","Honda City i VTEC VX"
"2010","72000 kms "," Petrol "," Manual"," 2.80 Lakh","Honda City 1.5 S MT"
"2018","60000 kms "," Petrol "," Manual"," 5.50 Lakh","Honda Amaze S i-VTEC"
"2017","30000 kms "," Petrol "," Manual"," 6.95 Lakh","Honda City i VTEC SV"
"2015","40000 kms "," Petrol "," Automatic"," 6.50 Lakh","Honda Jazz 1.2 V AT i VTE"
"2015","18000 kms "," Petrol "," Automatic"," 7.25 Lakh","Honda City i VTEC CVT SV"
"2014","70000 kms "," Diesel "," Manual"," 4.35 Lakh","Honda City i DTEC V"
"2014","80000 kms "," Diesel "," Manual"," 4.80 Lakh","Honda City i DTEC V"
"2018","43326 kms "," Petrol "," Manual"," 4.85 Lakh","Honda Amaze E i-VTEC"
"2022","1661 kms "," Petrol "," Manual"," 16 Lakh","Honda City VX MT"
"2018","43326 kms "," Petrol "," Manual"," 4.85 Lakh","Honda Amaze E i-VTEC"
"2017","31000 kms "," Petrol "," Manual"," 6.93 Lakh","Honda City i VTEC S"
"2017","30991 kms "," Petrol "," Automatic"," 9.50 Lakh","Honda City i-VTEC CVT VX"
"2023","5000 kms "," Petrol "," Manual"," 7 Lakh","Honda Amaze S"
"2015","88000 kms "," Petrol "," Manual"," 4.49 Lakh","Honda Amaze S i-Vtech"
"2020","33174 kms "," Diesel "," Manual"," 9.20 Lakh","Honda WR-V i-DTEC VX"
"2013","110000 kms "," Diesel "," Manual"," 2 Lakh","Honda Amaze E i-Dtech"
"2013","48500 kms "," Petrol "," Manual"," 2.89 Lakh","Honda Brio VX"
"2015","140499 kms "," Diesel "," Manual"," 5.30 Lakh","Honda City i DTEC V"
"2012","66000 kms "," Petrol "," Manual"," 3.65 Lakh","Honda City E"
"2015","120000 kms "," Diesel "," Manual"," 4 Lakh","Honda Amaze S i-Dtech"
"2007","100000 kms "," Petrol "," Manual"," 2 Lakh","Honda City GXi"
"2020","15000 kms "," Petrol "," Manual"," 9.25 Lakh","Honda WR-V i-VTEC VX"
"2017","21000 kms "," Petrol "," Manual"," 6.90 Lakh","Honda Jazz 1.2 SV i VTEC"
"2008","104184 kms "," Petrol "," Manual"," 1.28 Lakh","Honda City EXi"
"2013","66000 kms "," Petrol "," Manual"," 4 Lakh","Honda Brio S MT"
"2017","88600 kms "," Diesel "," Manual"," 7.60 Lakh","Honda WR-V i-DTEC VX"
"2014","32000 kms "," Petrol "," Manual"," 3.35 Lakh","Honda Brio S MT"
"2022","27690 kms "," Petrol "," Manual"," 10.50 Lakh","Honda City V MT"
"2012","91030 kms "," Petrol "," Manual"," 3.08 Lakh","Honda City S"
"2017","38283 kms "," Petrol "," Manual"," 6.75 Lakh","Honda BR-V i-VTEC V MT"
"2014","39000 kms "," Petrol "," Manual"," 3.51 Lakh","Honda Brio V MT"
"2015","125308 kms "," Petrol "," Manual"," 5 Lakh","Honda City i VTEC V"
"2014","58200 kms "," Petrol "," Automatic"," 5.45 Lakh","Honda City i VTEC CVT SV"
"2008","70000 kms "," Petrol "," Manual"," 3.85 Lakh","Honda Civic 1.8 V MT"
"2014","80000 kms "," Diesel "," Manual"," 5.45 Lakh","Honda City i DTEC SV"
"2014","28000 kms "," Petrol "," Manual"," 3 Lakh","Honda Brio S MT"
"2021","2867 kms "," Petrol "," Manual"," 7.50 Lakh","Honda Amaze S Petrol"
"2013","40393 kms "," Petrol "," Manual"," 3.35 Lakh","Honda Amaze SX i-VTEC"
"2015","46067 kms "," Petrol "," Automatic"," 4.75 Lakh","Honda Amaze S AT i-Vtech"
"2010","64000 kms "," Petrol "," Manual"," 3.35 Lakh","Honda City 1.5 V MT"
"2013","41000 kms "," Petrol "," Automatic"," 5.11 Lakh","Honda Amaze VX AT i-Vtech"
"2015","69000 kms "," Petrol "," Automatic"," 5.85 Lakh","Honda City i VTEC CVT SV"
"2012","72452 kms "," Petrol "," Manual"," 2.89 Lakh","Honda Brio S MT"
"2014","113136 kms "," Diesel "," Manual"," 2.73 Lakh","Honda Amaze S i-Dtech"
"2015","44284 kms "," Petrol "," Manual"," 3.60 Lakh","Honda Jazz 1.2 E i VTEC"
"2008","81543 kms "," Petrol "," Manual"," 2.32 Lakh","Honda City 1.5 S MT"
"2013","169285 kms "," Diesel "," Manual"," 3.49 Lakh","Honda Amaze S i-Dtech"
"2014","81667 kms "," Petrol "," Manual"," 4.50 Lakh","Honda Mobilio S i-VTEC"
"2013","156064 kms "," Diesel "," Manual"," 3.27 Lakh","Honda Amaze S i-Dtech"
"2018","62312 kms "," Diesel "," Manual"," 5.50 Lakh","Honda Amaze S i-DTEC"
"2014","67683 kms "," Petrol "," Manual"," 3.50 Lakh","Honda Mobilio V i-VTEC"
"2018","34025 kms "," Petrol "," Manual"," 7.25 Lakh","Honda City i-VTEC SV"
"2015","74057 kms "," Petrol "," Manual"," 6.89 Lakh","Honda City i VTEC VX"
"2010","133878 kms "," Petrol "," Automatic"," 2.77 Lakh","Honda City 1.5 V AT"
"2018","27947 kms "," Petrol "," Manual"," 7.50 Lakh","Honda City i-VTEC V"
"2019","33500 kms "," Petrol "," Automatic"," 10 Lakh","Honda City i-VTEC CVT V"
"2014","100000 kms "," Diesel "," Manual"," 5.40 Lakh","Honda City i DTEC V"
"2016","50000 kms "," Petrol "," Manual"," 4 Lakh","Honda Brio S MT"
"2018","25000 kms "," Petrol "," Manual"," 7.45 Lakh","Honda WR-V i-VTEC VX"
"2019","23000 kms "," Petrol "," Manual"," 8.50 Lakh","Honda BR-V i-VTEC S MT"
"2015","64183 kms "," Petrol "," Manual"," 3.56 Lakh","Honda Amaze S i-Vtech"
"2016","19434 kms "," Petrol "," Manual"," 6 Lakh","Honda City i VTEC S"
"2016","99548 kms "," Petrol "," Automatic"," 6.90 Lakh","Honda City i VTEC CVT VX"
"2015","77279 kms "," Diesel "," Manual"," 3.50 Lakh","Honda Amaze S i-Dtech"
"2012","64000 kms "," Petrol "," Manual"," 2.90 Lakh","Honda Brio V MT"
"2022","14879 kms "," Petrol "," Manual"," 12.75 Lakh","Honda City ZX MT"
"2017","94423 kms "," Petrol "," Manual"," 3.15 Lakh","Honda Amaze E i-VTEC"
"2009","35958 kms "," Petrol "," Manual"," 2 Lakh","Honda Jazz S"
"2013","82097 kms "," Petrol "," Manual"," 2.13 Lakh","Honda Brio V MT"
"2017","38515 kms "," Petrol "," Manual"," 7.10 Lakh","Honda City i VTEC V"
"2009","83088 kms "," Petrol "," Manual"," 1.96 Lakh","Honda City 1.5 S MT"
"2015","132349 kms "," Diesel "," Manual"," 4.16 Lakh","Honda Jazz 1.5 SV i DTEC"
"2010","83013 kms "," Petrol "," Manual"," 2.40 Lakh","Honda City 1.5 S MT"
"2010","102885 kms "," Petrol "," Manual"," 1.77 Lakh","Honda Jazz Basic"
"2019","71508 kms "," Petrol "," Automatic"," 11.40 Lakh","Honda City ZX CVT"
"2010","93275 kms "," Petrol "," Manual"," 3.50 Lakh","Honda City 1.5 S MT"
"2012","57950 kms "," Petrol "," Automatic"," 4 Lakh","Honda City V AT"
"2017","53000 kms "," Petrol "," Manual"," 5.20 Lakh","Honda Amaze SX i VTEC"
"2011","87487 kms "," Petrol "," Manual"," 2.70 Lakh","Honda City 1.5 V MT"
"2017","19848 kms "," Petrol "," Manual"," 7 Lakh","Honda WR-V i-VTEC VX"
"2016","56660 kms "," Petrol "," Manual"," 7.45 Lakh","Honda City i VTEC VX"
"2019","14977 kms "," Petrol "," Automatic"," 8.25 Lakh","Honda Amaze VX CVT Petrol"
"2009","95980 kms "," Petrol "," Manual"," 1.78 Lakh","Honda City 1.5 S MT"
"2009","44869 kms "," Petrol "," Manual"," 2.50 Lakh","Honda City 1.5 S MT"
"2013","100085 kms "," Petrol "," Manual"," 2.83 Lakh","Honda City E"
